Total_Runtime,Total_Created_Tasks,Accepted_Tasks,Dropped_Tasks,Completed_Tasks,Reward
100,100,87,13,80,-81.0
100,100,92,8,83,-62.0
100,100,87,13,79,-81.0
100,100,93,7,85,-39.0
100,100,90,10,83,-61.5
100,100,97,3,90,9.5
100,100,95,5,86,-1.0
100,100,93,7,85,-24.5
100,100,95,5,88,11.5
100,100,93,7,84,-41.5
100,100,96,4,89,3.0
100,100,92,8,83,-44.0
100,100,91,9,82,-45.5
100,100,91,9,84,-47.5
100,100,96,4,91,22.5
100,100,91,9,83,-61.0
100,100,89,11,81,-83.5
100,100,91,9,82,-78.0
100,100,92,8,86,-35.5
100,100,91,9,82,-52.0
100,100,91,9,86,-43.0
100,100,93,7,84,-36.5
100,100,96,4,89,17.5
100,100,91,9,84,-60.5
100,100,93,7,86,-30.0
100,100,91,9,82,-59.5
100,100,94,6,86,-43.5
100,100,94,6,86,-31.0
100,100,98,2,91,35.5
100,100,93,7,86,-30.5
100,100,97,3,90,43.0
100,100,87,13,79,-81.5
100,100,92,8,85,-53.5
100,100,94,6,88,-13.5
100,100,93,7,84,-45.0
100,100,95,5,86,-8.5
100,100,93,7,85,-27.0
100,100,93,7,85,-22.5
100,100,98,2,91,6.5
100,100,92,8,84,-47.5
100,100,92,8,83,-44.0
100,100,95,5,87,-1.5
100,100,97,3,93,26.0
100,100,97,3,90,25.5
100,100,91,9,83,-32.0
100,100,95,5,86,8.0
100,100,92,8,84,-83.5
100,100,94,6,86,-11.5
100,100,91,9,82,-66.5
100,100,93,7,87,-19.5
100,100,92,8,86,-35.0
100,100,97,3,91,29.0
100,100,94,6,85,-12.5
100,100,95,5,88,-1.0
100,100,91,9,85,-55.5
100,100,92,8,84,-56.0
100,100,92,8,85,-19.5
100,100,91,9,83,-65.0
100,100,91,9,83,-61.5
100,100,95,5,88,22.5
100,100,94,6,86,-46.0
100,100,93,7,85,-36.0
100,100,93,7,87,-9.5
100,100,90,10,83,-46.0
100,100,95,5,87,-18.0
100,100,96,4,88,20.0
100,100,97,3,90,28.0
100,100,90,10,81,-82.5
100,100,95,5,90,-9.5
100,100,94,6,89,-25.0
100,100,94,6,87,-19.0
100,100,97,3,90,37.5
100,100,94,6,87,-21.0
100,100,94,6,87,-20.5
100,100,91,9,84,-43.0
100,100,85,15,76,-120.0
100,100,94,6,86,-3.5
100,100,91,9,83,-45.5
100,100,92,8,83,-57.5
100,100,97,3,90,28.0
100,100,95,5,88,22.5
100,100,94,6,87,-3.5
100,100,97,3,88,28.5
100,100,95,5,87,-35.5
100,100,90,10,84,-63.5
100,100,95,5,88,-29.0
100,100,96,4,89,8.0
100,100,91,9,82,-57.0
100,100,91,9,83,-4.5
100,100,96,4,88,50.5
100,100,98,2,92,32.5
100,100,90,10,84,-38.5
100,100,99,1,92,38.0
100,100,93,7,87,-20.5
100,100,94,6,86,-3.5
100,100,92,8,84,-18.5
100,100,92,8,83,-40.0
100,100,94,6,85,-23.5
100,100,98,2,91,50.5
100,100,92,8,84,-57.5
