Total_Runtime,Total_Created_Tasks,Accepted_Tasks,Dropped_Tasks,Completed_Tasks,Reward
100,100,80,20,72,-152.5
100,100,86,14,78,-80.0
100,100,83,17,76,-115.5
100,100,85,15,77,-97.0
100,100,84,16,76,-123.0
100,100,88,12,82,-60.5
100,100,86,14,79,-97.0
100,100,85,15,78,-102.0
100,100,90,10,84,-33.0
100,100,86,14,78,-88.0
100,100,87,13,79,-93.0
100,100,85,15,76,-84.0
100,100,87,13,79,-66.0
100,100,78,22,70,-184.0
100,100,86,14,79,-91.5
100,100,83,17,75,-119.0
100,100,79,21,70,-160.0
100,100,82,18,74,-153.5
100,100,86,14,78,-101.5
100,100,85,15,77,-100.0
100,100,85,15,78,-71.5
100,100,85,15,77,-84.5
100,100,90,10,82,-48.5
100,100,81,19,74,-141.5
100,100,78,22,70,-167.5
100,100,81,19,73,-145.5
100,100,88,12,80,-77.5
100,100,89,11,80,-50.5
100,100,89,11,83,-31.0
100,100,82,18,75,-113.5
100,100,92,8,84,3.0
100,100,78,22,71,-153.0
100,100,85,15,78,-99.0
100,100,89,11,81,-46.0
100,100,83,17,74,-122.5
100,100,89,11,82,-22.0
100,100,83,17,75,-131.5
100,100,88,12,80,-47.5
100,100,90,10,83,-55.0
100,100,84,16,77,-111.0
100,100,84,16,76,-105.5
100,100,88,12,81,-70.5
100,100,91,9,85,-56.0
100,100,92,8,85,1.0
100,100,86,14,79,-62.0
100,100,88,12,82,-55.5
100,100,85,15,79,-117.5
100,100,86,14,79,-78.5
100,100,83,17,75,-116.0
100,100,90,10,82,-53.5
100,100,84,16,77,-123.5
100,100,93,7,85,-24.5
100,100,85,15,77,-70.5
100,100,85,15,77,-97.5
100,100,82,18,77,-126.5
100,100,82,18,75,-123.5
100,100,89,11,80,-61.0
100,100,81,19,74,-126.5
100,100,85,15,78,-102.5
100,100,90,10,84,-18.0
100,100,87,13,79,-93.5
100,100,86,14,80,-66.5
100,100,86,14,77,-100.0
100,100,85,15,78,-103.0
100,100,86,14,80,-83.5
100,100,89,11,82,-20.0
100,100,86,14,78,-67.5
100,100,81,19,72,-153.5
100,100,85,15,78,-107.5
100,100,88,12,82,-57.0
100,100,86,14,78,-94.5
100,100,88,12,81,-39.0
100,100,86,14,78,-100.0
100,100,91,9,83,-39.0
100,100,85,15,79,-74.5
100,100,80,20,71,-134.0
100,100,86,14,79,-109.5
100,100,85,15,78,-91.5
100,100,83,17,76,-110.0
100,100,88,12,81,-60.0
100,100,84,16,76,-100.5
100,100,89,11,82,-51.0
100,100,92,8,84,22.5
100,100,84,16,77,-130.5
100,100,78,22,73,-140.5
100,100,88,12,81,-68.5
100,100,91,9,83,-30.0
100,100,83,17,75,-101.5
100,100,85,15,77,-93.0
100,100,94,6,86,33.0
100,100,93,7,84,-22.5
100,100,85,15,78,-111.0
100,100,90,10,83,-42.5
100,100,82,18,74,-107.5
100,100,86,14,77,-78.5
100,100,87,13,80,-61.0
100,100,85,15,77,-110.5
100,100,89,11,81,-52.0
100,100,91,9,83,-15.5
100,100,84,16,76,-118.0
