Step,Policy,Reward,Drop_Rate,Completion_Rate
1,Q-learning,0.5,0.0,0.0
2,Q-learning,1.0,0.0,0.0
3,Q-learning,3.5,0.0,0.3333333333333333
4,Q-learning,3.5,0.0,0.25
5,Q-learning,5.0,0.0,0.4
6,Q-learning,6.5,0.0,0.5
7,Q-learning,6.5,0.0,0.42857142857142855
8,Q-learning,8.0,0.0,0.5
9,Q-learning,9.5,0.0,0.5555555555555556
10,Q-learning,9.0,0.0,0.5
11,Q-learning,12.5,0.0,0.6363636363636364
12,Q-learning,12.0,0.0,0.5833333333333334
13,Q-learning,13.0,0.0,0.6153846153846154
14,Q-learning,12.0,0.0,0.5714285714285714
15,Q-learning,13.0,0.0,0.6
16,Q-learning,13.5,0.0,0.625
17,Q-learning,14.0,0.0,0.6470588235294118
18,Q-learning,15.0,0.0,0.6666666666666666
19,Q-learning,13.5,0.0,0.631578947368421
20,Q-learning,11.5,0.0,0.6
21,Q-learning,13.5,0.0,0.6666666666666666
22,Q-learning,14.0,0.0,0.6818181818181818
23,Q-learning,12.0,0.0,0.6521739130434783
24,Q-learning,14.0,0.0,0.7083333333333334
25,Q-learning,14.5,0.0,0.72
26,Q-learning,12.5,0.0,0.6923076923076923
27,Q-learning,12.5,0.0,0.7037037037037037
28,Q-learning,12.5,0.0,0.7142857142857143
29,Q-learning,12.5,0.0,0.7241379310344828
30,Q-learning,7.0,0.03333333333333333,0.7333333333333333
31,Q-learning,5.0,0.03225806451612903,0.7096774193548387
32,Q-learning,-0.5,0.0625,0.71875
33,Q-learning,-2.5,0.06060606060606061,0.696969696969697
34,Q-learning,-2.5,0.058823529411764705,0.7058823529411765
35,Q-learning,-5.0,0.05714285714285714,0.6857142857142857
36,Q-learning,-5.5,0.05555555555555555,0.6944444444444444
37,Q-learning,-6.0,0.05405405405405406,0.7027027027027027
38,Q-learning,-6.5,0.05263157894736842,0.7105263157894737
39,Q-learning,-7.0,0.05128205128205128,0.717948717948718
40,Q-learning,-7.5,0.05,0.725
41,Q-learning,-8.0,0.04878048780487805,0.7317073170731707
42,Q-learning,-6.5,0.047619047619047616,0.7619047619047619
43,Q-learning,-9.0,0.046511627906976744,0.7441860465116279
44,Q-learning,-9.5,0.045454545454545456,0.75
45,Q-learning,-17.5,0.06666666666666667,0.7333333333333333
46,Q-learning,-18.0,0.06521739130434782,0.7391304347826086
47,Q-learning,-18.5,0.06382978723404255,0.7446808510638298
48,Q-learning,-26.5,0.08333333333333333,0.7291666666666666
49,Q-learning,-27.0,0.08163265306122448,0.7346938775510204
50,Q-learning,-27.5,0.08,0.74
51,Q-learning,-26.0,0.0784313725490196,0.7647058823529411
52,Q-learning,-26.0,0.07692307692307693,0.7692307692307693
53,Q-learning,-24.0,0.07547169811320754,0.7924528301886793
54,Q-learning,-26.0,0.07407407407407407,0.7777777777777778
55,Q-learning,-24.0,0.07272727272727272,0.8
56,Q-learning,-23.5,0.07142857142857142,0.8035714285714286
57,Q-learning,-25.5,0.07017543859649122,0.7894736842105263
58,Q-learning,-21.5,0.06896551724137931,0.8275862068965517
59,Q-learning,-23.0,0.06779661016949153,0.8135593220338984
60,Q-learning,-30.0,0.08333333333333333,0.8
61,Q-learning,-29.5,0.08196721311475409,0.8032786885245902
62,Q-learning,-31.5,0.08064516129032258,0.7903225806451613
63,Q-learning,-29.5,0.07936507936507936,0.8095238095238095
64,Q-learning,-31.5,0.078125,0.796875
65,Q-learning,-29.5,0.07692307692307693,0.8153846153846154
66,Q-learning,-29.0,0.07575757575757576,0.8181818181818182
67,Q-learning,-28.5,0.07462686567164178,0.8208955223880597
68,Q-learning,-26.0,0.07352941176470588,0.8382352941176471
69,Q-learning,-25.0,0.07246376811594203,0.8405797101449275
70,Q-learning,-24.0,0.07142857142857142,0.8428571428571429
71,Q-learning,-25.5,0.07042253521126761,0.8309859154929577
72,Q-learning,-23.0,0.06944444444444445,0.8472222222222222
73,Q-learning,-22.5,0.0684931506849315,0.8493150684931506
74,Q-learning,-24.0,0.06756756756756757,0.8378378378378378
75,Q-learning,-19.5,0.06666666666666667,0.8666666666666667
76,Q-learning,-20.5,0.06578947368421052,0.8552631578947368
77,Q-learning,-22.0,0.06493506493506493,0.8441558441558441
78,Q-learning,-21.5,0.0641025641025641,0.8461538461538461
79,Q-learning,-19.0,0.06329113924050633,0.8607594936708861
80,Q-learning,-18.0,0.0625,0.8625
81,Q-learning,-17.5,0.06172839506172839,0.8641975308641975
82,Q-learning,-16.5,0.06097560975609756,0.8658536585365854
83,Q-learning,-15.5,0.060240963855421686,0.8674698795180723
84,Q-learning,-17.0,0.05952380952380952,0.8571428571428571
85,Q-learning,-19.0,0.058823529411764705,0.8470588235294118
86,Q-learning,-15.0,0.05813953488372093,0.872093023255814
87,Q-learning,-14.0,0.05747126436781609,0.8735632183908046
88,Q-learning,-15.5,0.056818181818181816,0.8636363636363636
89,Q-learning,-13.0,0.056179775280898875,0.8764044943820225
90,Q-learning,-14.5,0.05555555555555555,0.8666666666666667
91,Q-learning,-14.0,0.054945054945054944,0.8681318681318682
92,Q-learning,-11.5,0.05434782608695652,0.8804347826086957
93,Q-learning,-10.5,0.053763440860215055,0.8817204301075269
94,Q-learning,-10.0,0.05319148936170213,0.8829787234042553
95,Q-learning,-9.5,0.05263157894736842,0.8842105263157894
96,Q-learning,-11.0,0.052083333333333336,0.875
97,Q-learning,-13.0,0.05154639175257732,0.865979381443299
98,Q-learning,-11.0,0.05102040816326531,0.8775510204081632
99,Q-learning,-10.5,0.050505050505050504,0.8787878787878788
100,Q-learning,-10.5,0.05,0.88
1,Round Robin,0.5,0.0,0.0
2,Round Robin,3.0,0.0,0.5
3,Round Robin,3.5,0.0,0.3333333333333333
4,Round Robin,6.0,0.0,0.5
5,Round Robin,6.0,0.0,0.4
6,Round Robin,6.0,0.0,0.3333333333333333
7,Round Robin,9.5,0.0,0.5714285714285714
8,Round Robin,11.0,0.0,0.625
9,Round Robin,11.0,0.0,0.5555555555555556
10,Round Robin,10.5,0.0,0.5
11,Round Robin,11.5,0.0,0.5454545454545454
12,Round Robin,12.5,0.0,0.5833333333333334
13,Round Robin,13.5,0.0,0.6153846153846154
14,Round Robin,12.5,0.0,0.5714285714285714
15,Round Robin,11.0,0.0,0.5333333333333333
16,Round Robin,13.5,0.0,0.625
17,Round Robin,16.0,0.0,0.7058823529411765
18,Round Robin,15.0,0.0,0.6666666666666666
19,Round Robin,13.5,0.0,0.631578947368421
20,Round Robin,14.0,0.0,0.65
21,Round Robin,14.5,0.0,0.6666666666666666
22,Round Robin,15.0,0.0,0.6818181818181818
23,Round Robin,17.5,0.0,0.7391304347826086
24,Round Robin,18.0,0.0,0.75
25,Round Robin,16.5,0.0,0.72
26,Round Robin,14.5,0.0,0.6923076923076923
27,Round Robin,14.0,0.0,0.7037037037037037
28,Round Robin,11.5,0.0,0.6785714285714286
29,Round Robin,5.5,0.034482758620689655,0.6896551724137931
30,Round Robin,5.0,0.03333333333333333,0.7
31,Round Robin,-0.5,0.06451612903225806,0.7096774193548387
32,Round Robin,-2.5,0.0625,0.6875
33,Round Robin,-3.0,0.06060606060606061,0.696969696969697
34,Round Robin,-5.5,0.058823529411764705,0.6764705882352942
35,Round Robin,-6.0,0.05714285714285714,0.6857142857142857
36,Round Robin,-12.0,0.08333333333333333,0.6944444444444444
37,Round Robin,-17.5,0.10810810810810811,0.7027027027027027
38,Round Robin,-17.5,0.10526315789473684,0.7105263157894737
39,Round Robin,-17.5,0.10256410256410256,0.717948717948718
40,Round Robin,-17.5,0.1,0.725
41,Round Robin,-17.5,0.0975609756097561,0.7317073170731707
42,Round Robin,-17.0,0.09523809523809523,0.7380952380952381
43,Round Robin,-17.0,0.09302325581395349,0.7441860465116279
44,Round Robin,-17.0,0.09090909090909091,0.75
45,Round Robin,-19.0,0.08888888888888889,0.7333333333333333
46,Round Robin,-17.5,0.08695652173913043,0.7608695652173914
47,Round Robin,-19.5,0.0851063829787234,0.7446808510638298
48,Round Robin,-20.0,0.08333333333333333,0.75
49,Round Robin,-22.5,0.08163265306122448,0.7346938775510204
50,Round Robin,-26.5,0.1,0.76
51,Round Robin,-28.5,0.09803921568627451,0.7450980392156863
52,Round Robin,-29.0,0.09615384615384616,0.75
53,Round Robin,-31.5,0.09433962264150944,0.7358490566037735
54,Round Robin,-37.5,0.1111111111111111,0.7407407407407407
55,Round Robin,-38.0,0.10909090909090909,0.7454545454545455
56,Round Robin,-45.5,0.125,0.7321428571428571
57,Round Robin,-43.5,0.12280701754385964,0.7543859649122807
58,Round Robin,-43.0,0.1206896551724138,0.7586206896551724
59,Round Robin,-45.0,0.11864406779661017,0.7457627118644068
60,Round Robin,-47.5,0.11666666666666667,0.7333333333333333
61,Round Robin,-48.0,0.11475409836065574,0.7377049180327869
62,Round Robin,-44.5,0.11290322580645161,0.7741935483870968
63,Round Robin,-44.5,0.1111111111111111,0.7777777777777778
64,Round Robin,-44.0,0.109375,0.78125
65,Round Robin,-46.0,0.1076923076923077,0.7692307692307693
66,Round Robin,-46.0,0.10606060606060606,0.7727272727272727
67,Round Robin,-48.5,0.1044776119402985,0.7611940298507462
68,Round Robin,-56.5,0.11764705882352941,0.75
69,Round Robin,-53.0,0.11594202898550725,0.782608695652174
70,Round Robin,-55.0,0.11428571428571428,0.7714285714285715
71,Round Robin,-57.5,0.11267605633802817,0.7605633802816901
72,Round Robin,-65.5,0.125,0.75
73,Round Robin,-62.0,0.1232876712328767,0.7808219178082192
74,Round Robin,-64.0,0.12162162162162163,0.7702702702702703
75,Round Robin,-66.5,0.12,0.76
76,Round Robin,-67.0,0.11842105263157894,0.7631578947368421
77,Round Robin,-67.5,0.11688311688311688,0.7662337662337663
78,Round Robin,-73.5,0.1282051282051282,0.7692307692307693
79,Round Robin,-74.0,0.12658227848101267,0.7721518987341772
80,Round Robin,-72.0,0.125,0.7875
81,Round Robin,-72.0,0.12345679012345678,0.7901234567901234
82,Round Robin,-69.5,0.12195121951219512,0.8048780487804879
83,Round Robin,-71.0,0.12048192771084337,0.7951807228915663
84,Round Robin,-73.0,0.11904761904761904,0.7857142857142857
85,Round Robin,-73.5,0.11764705882352941,0.788235294117647
86,Round Robin,-71.5,0.11627906976744186,0.8023255813953488
87,Round Robin,-71.5,0.11494252873563218,0.8045977011494253
88,Round Robin,-73.5,0.11363636363636363,0.7954545454545454
89,Round Robin,-71.5,0.11235955056179775,0.8089887640449438
90,Round Robin,-78.5,0.12222222222222222,0.8
91,Round Robin,-78.5,0.12087912087912088,0.8021978021978022
92,Round Robin,-78.5,0.11956521739130435,0.8043478260869565
93,Round Robin,-80.5,0.11827956989247312,0.7956989247311828
94,Round Robin,-79.0,0.11702127659574468,0.8085106382978723
95,Round Robin,-79.0,0.11578947368421053,0.8105263157894737
96,Round Robin,-81.0,0.11458333333333333,0.8020833333333334
97,Round Robin,-83.5,0.1134020618556701,0.7938144329896907
98,Round Robin,-82.0,0.11224489795918367,0.8061224489795918
99,Round Robin,-82.5,0.1111111111111111,0.8080808080808081
100,Round Robin,-82.5,0.11,0.81
