State,Action,Q-value
0,0,0.491675
0,1,0.277350
0,2,0.590490
0,3,0.506990
1,0,0.459174
1,1,0.000000
1,2,0.656100
1,3,0.532366
2,0,0.539045
2,1,0.729000
2,2,0.414295
2,3,0.633352
3,0,0.597950
3,1,0.000000
3,2,0.099271
3,3,0.000000
4,0,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.462090
6,0,0.000000
6,1,0.810000
6,2,0.000000
6,3,0.608971
8,0,0.000000
8,1,0.000000
8,2,0.000000
8,3,0.023490
9,0,0.000021
9,1,0.000000
9,2,0.779867
9,3,0.000000
10,0,0.611228
10,1,0.900000
10,2,0.000000
10,3,0.694604
13,2,0.841633
13,3,0.000000
14,0,0.605936
14,1,0.861828
14,2,1.000000
14,3,0.753169
