State,Action,Q-value
0,0,0.503426
0,1,0.590490
0,2,0.313180
0,3,0.464719
1,0,0.465366
1,1,0.000000
1,2,0.001155
1,3,0.000000
2,0,0.000000
2,1,0.030168
2,2,0.000000
2,3,0.000000
3,0,0.000000
3,1,0.000000
3,2,0.000000
3,3,0.000000
4,0,0.538107
4,1,0.656100
4,2,0.000000
4,3,0.486626
6,0,0.000000
6,1,0.265548
6,2,0.000000
6,3,0.000000
8,0,0.565596
8,1,0.000000
8,2,0.729000
8,3,0.559487
9,0,0.583294
9,1,0.810000
9,2,0.667946
9,3,0.000000
10,0,0.072900
10,1,0.893699
10,2,0.000000
10,3,0.006500
13,0,0.000000
13,1,0.736537
13,2,0.900000
13,3,0.558408
14,0,0.766373
14,1,0.832620
14,2,1.000000
14,3,0.688923
